2026-02-01 00:07:44 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=5h40m14s730ms737µs300ns).
2026-02-01 00:07:58 INFO  c.j.p.s.JwtAuthenticationFilter - JWT Token found for user: super_admin
2026-02-01 00:07:58 INFO  c.j.p.s.JwtAuthenticationFilter - JWT authentication successful for user: super_admin
2026-02-01 00:08:47 INFO  c.j.p.s.JwtAuthenticationFilter - JWT Token found for user: super_admin
2026-02-01 00:08:47 INFO  c.j.p.s.JwtAuthenticationFilter - JWT authentication successful for user: super_admin
2026-02-01 00:09:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT Token found for user: super_admin
2026-02-01 00:09:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT authentication successful for user: super_admin
2026-02-01 00:10:27 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:27 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:27 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:27 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:27 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:27 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:27 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:27 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:27 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:28 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:29 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:30 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:30 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:30 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:30 INFO  c.j.pos.scheduler.BackupScheduler - Starting scheduled database backup...
